狂戦士たちの猛攻,Berserkers' Onslaught,<i>「アタルカの民が飢えるなか、アタルカは民の狩りがもたらした恵みを食べ続けています。彼らは己の生存のために、より多くの領土を獲得しなければならないのです。」<br/></i><br/></i>――見えざる囁く者、アレル</i>
祝福された転生,Blessed Reincarnation,
血顎の狂信者,Blood-Chin Fanatic,<i>「我々は我らが龍王のごとく残虐である。稲妻の速さで襲撃し、人肉を喰らう。」</i>
血顎の憤怒鬼,Blood-Chin Rager,<i>コラガンの者たちが持つ刃が綺麗な状態であることは少ない。</i>
雷光翼の匪賊,Boltwing Marauder,<i>コラガンの者たちと戦って、同じ場所に２度稲妻を受けただけで済んだら、それは運が良かったと考えるべきである。</i>
解体者の歓び,Butcher's Glee,<i>戦望によって、膝裂きは自分が龍より大きくなっていると考えていた。</i>
魂の基点,Center Soul,
アラシンの勇者,Champion of Arashin,<i>「私の血管にはドロモカ様と同じ血が流れているのだ。」</i>
長老たちの車座,Circle of Elders,<i>彼らは自分たちの世界の龍族を救った太古の英雄について囁き合った。</i>
クローンの軍勢,Clone Legion,<i>敵が自分と同じ顔をしていることすら気に留めないほど、彼らの戦いへの欲望は凄まじいものだった。</i>
毒塗り,Coat with Venom,<i>「すべてのシルムガルの刃には、我らが龍王の祝福が施されているのさ。」<br/></i><br/></i>――無謬のザティ</i>
集合した中隊,Collected Company,<i>１人なら倒されるが、集団なら立ち続けることができる。</i>
コロッソドンの一年仔,Colossodon Yearling,<i>コロッソドンの堅固な外殻は多くの捕食者から身を守ってくれるが、龍が軽く弾くだけで餌を盛った鉢となる。</i>
溶岩との融和,Commune with Lava,<i>アタルカは遠い昔に炎の縁カダットをその支配下に置いた。イフリートたちには炎の栄光を全世界に広めると約束し、彼らの心をつかみ取った。</i>
針葉樹の徘徊者,Conifer Strider,<i>アタルカの存在感はカル・シスマの氷河を溶かし、その地の精霊たちに移住するか適応するかの選択を強いる。</i>
否定,Contradict,<i>オジュタイに問うた者が、満足できる解を授かるとは限らない。</i>
死体結い,Corpseweft,<i>選択の幅が狭められることをシディシは嫌った。</i>
火口の精霊,Crater Elemental,
狡猾な微風舞い,Cunning Breezedancer,<i>「美しい外観を持つものは、時には命取りとなることもありましょう。」<br/></i><br/></i>――オジュタイの龍語り、イーシャイ</i>
宝物庫の守衛,Custodian of the Trove,<i>シルムガルは他の氏族の宝を別の用途に使用して自分の飽くなき欲望を満たすことに悦びを見出している。</i>
禍々しい協定,Damnable Pact,<i>「シルムガル様の精神の中は闇の迷宮。不気味な秘密と巧妙な罠がちりばめられているわ。」<br/></i><br/></i>――龍口のシアラ</i>
空智の踊り,Dance of the Skywise,<i>オジュタイの者たちは輪廻の大輪を信奉している。龍王に最も良く尽くした者は龍として生まれ変わる宿命にあると。</i>
命取りの放浪,Deadly Wanderings,<i>「隔絶とは、強き者のみが取り得る選択だ。」<br/></i><br/></i>――ソリン・マルコフ</i>
死の風,Death Wind,<i>「私はシルムガル陛下に仕える龍殺しさ。私が恐れる龍は、あのお方以外には存在しない。」<br/></i><br/></i>――無謬のザティ</i>
死致の執政,Deathbringer Regent,
死霧の猛禽,Deathmist Raptor,
押し倒し,Defeat,<i>「ひとつひとつの命のやり取りの積み重ねが、戦争の趨勢を決定する。」<br/></i><br/></i>――コラガンの戦士、ガヴァール・バーズィール</i>
棲み家の防御者,Den Protector,
龍の降下,Descent of the Dragons,<i>龍は完全な形態で、恐ろしく飢えた状態で大嵐から出現する。</i>
ダルガーの宿敵,Dirgur Nemesis,
威圧の誇示,Display of Dominance,
龍詞の咆哮,Draconic Roar,
ドラゴンの餌,Dragon Fodder,<i>ティムールの同胞たちと同じように、アタルカのゴブリン達も積極的にその最期を迎えている。ただし、通常は大きな翼の影に覆い尽くされてからとなる。</i>
ドラゴンを狩る者,Dragon Hunter,<i>「今後の活躍のために役立てよと、ドロモカ様は龍族の秘密について教えてくださったのだ。」</i>
龍の大嵐,Dragon Tempest,
龍を操る者,Dragon Whisperer,
龍傷負いの熊,Dragon-Scarred Bear,<i>アタルカにとって、熊は珍味である。今でも生き残っているのは、その種族の中でも最強の個体だけである。</i>
龍の眼の歩哨,Dragon's Eye Sentry,<i>オジュタイの砦を守る最下層の守備兵ですら、偉大なる師の教えの問題について熟考している。</i>
龍屋の偶像,Dragonloft Idol,
龍王アタルカ,Dragonlord Atarka,
龍王ドロモカ,Dragonlord Dromoka,<i>ドロモカの信奉者たちは、より大いなる家族の一員となるために自らの血の繋がりを捨てる。</i>
龍王コラガン,Dragonlord Kolaghan,
龍王オジュタイ,Dragonlord Ojutai,
龍王シルムガル,Dragonlord Silumgar,<i>シルムガルは自らの豪奢さをさらに高める機会を逃さない。</i>
龍王の大権,Dragonlord's Prerogative,
龍王の召使い,Dragonlord's Servant,<i>アタルカに仕えるゴブリンたちは、空腹なご主人様が彼らを食事のメニューに付け加えるのを思いとどまってくれることを期待して、自らの体に有害な薬草を練り込んだ油脂を塗りたくっている。</i>
ドロモカの隊長,Dromoka Captain,<i>「我々は恐怖に駆られて戦うのではない。名誉のために戦うのだ。」</i>
ドロモカの砂丘唱え,Dromoka Dunecaster,<i>「空の大嵐を支配しているのは龍王です。しかし、この荒野では嵐は我が意のままにあるのです。」</i>
ドロモカの碑,Dromoka Monument,<i>変容する荒野の中心都市であるアラシンの上層に位置する大いなる高楼から、ドロモカは自らの氏族を統治している。</i>
ドロモカの戦士,Dromoka Warrior,<i>ドロモカは、彼女の臣下として奉仕する人間たちに敬意を表していた。ドロモカの保護の見返りとして、彼らは揺るぎない忠誠心を持ってその命に従い、彼女やその鱗王たちの武器として他の氏族に立ち向かった。</i>
ドロモカの命令,Dromoka's Command,
ドロモカの贈り物,Dromoka's Gift,<i>龍にとっては何気ない贈り物も、人間の戦士にとっては最高の栄誉となる。</i>
強迫,Duress,<i>サルカンはズルゴに復讐することを望んでいた。かつて仇敵であった男の凋落した姿を見るまでは。</i>
忠信な従者,Dutiful Attendant,<i>器の中に入っている最後の頭を食べた龍は、その従者の頭を食べることができる。</i>
族樹の残響,Echoes of the Kin Tree,<i>アナフェンザが処刑された後も、多くの者たちは昔の慣習への密かな信仰を懐き続けていた。</i>
神出鬼没の呪拳士,Elusive Spellfist,<i>「新たな視点から障害を見ることを覚えよう。たとえば、その真下からとか。」<br/></i><br/></i>――オジュタイの僧、チャンイ</i>
氷固め,Encase in Ice,
忍耐の鱗王,Enduring Scalelord,<i>その輝きを超えることができるのは、アラシンの城壁を焦がす太陽だけである。</i>
不朽の勝利,Enduring Victory,<i>「我が龍王は不滅である。多くの龍たちはその限りではない。」<br/></i><br/></i>――ドロモカの戦士、カドリ</i>
勇壮な対決,Epic Confrontation,<i>時間軸に関わらず、不変のまま残る伝説もある。</i>
進化する未開地,Evolving Wilds,<i>大地の回復力は尽きることはない。たとえ死しても、それは再び蘇る。</i>
爆発的植生,Explosive Vegetation,<i>龍たちがもたらした炎と破壊にかかわらず、タルキールは今もなお繁栄している。</i>
忘れられた運命,Fate Forgotten,<i>過去に遡ってサルカンがウギンを救出したことで、タルキールの未来は改編された。スゥルタイ群はその存在が消え去り、龍王シルムガルとその氏族によって取って代わられていた。</i>
押し拉ぎ,Flatten,<i>彼らの龍王と同様に、コラガンの者たちも戦利品を求めない。彼らの欲求を真に満たすことができるのは、鉄と鉄がぶつかり合う音と蹄の轟音が響く戦いのみである。</i>
仇滅の執政,Foe-Razer Regent,
邪悪な復活,Foul Renewal,<i>生と死の輪廻の実態は、美しいものである場合の方が少ない。</i>
忌呪の発動,Foul-Tongue Invocation,
忌呪の金切り声,Foul-Tongue Shriek,<i>忌呪の巫師たちは、闇の力で歪めた龍詞をその力の供給源としている。</i>
門破り,Gate Smasher,
林間の見張り,Glade Watcher,
まばゆい神盾,Glaring Aegis,
権威の微光,Gleam of Authority,
きらめき,Glint,<i>たとえ魔術対決の途中であっても、ラクシャーサはその財力と権勢を誇示できる機会を逃しはしない。</i>
雅刃の職工,Graceblade Artisan,<i>「その刃の刃先で雪片をひとつ捕えることができますか？彼女の剣は、吹雪ひとつを丸ごと捕えましたよ。」<br/></i><br/></i>――オジュタイの神秘家、ゾギャイ</i>
墓所粛正,Gravepurge,<i>「シルムガル陛下は、陛下を喜ばせるための２度目の機会をお前にお与えくださったのですよ。」<br/></i><br/></i>――龍口のシアラ</i>
偉大なる師の指令,Great Teacher's Decree,
盾を持つ守護者,Guardian Shield-Bearer,
グドゥルの闇潜み,Gudul Lurker,<i>小さきものの大半は龍に無視されている。</i>
グルマグの溺れさせるもの,Gurmag Drowner,
シルムガルの手の者,Hand of Silumgar,<i>シルムガルは自分が気に入った者に自分の魔術を伝授し、彼の侮蔑を各地にもたらす能力を与えている。</i>
狩りの先駆け,Harbinger of the Hunt,<i>アタルカの龍は、吐いた息で焼いたものを飲み込む。</i>
鍛えられた狂戦士,Hardened Berserker,<i>「とにかく奴を自由にさせて、突撃に続け。」<br/></i><br/></i>――アタルカの戦士、イカロ</i>
精霊龍の安息地,Haven of the Spirit Dragon,
享楽者の宝物庫,Hedonist's Trove,
ドロモカの伝令,Herald of Dromoka,<i>アラシンのラッパ吹きは、大いなる高楼を見守る間は常に警戒を怠らない。</i>
群追いドラゴン,Herdchaser Dragon,
隠れたる龍殺し,Hidden Dragonslayer,
氷瀑の執政,Icefall Regent,
錯覚の利得,Illusory Gains,
衝撃の震え,Impact Tremors,<i>「奴らの耳が地面に押し当てられているのなら、そこから血を流させてやろう！」<br/></i><br/></i>――コラガンの戦士、タクライ</i>
鼓舞する呼び声,Inspiring Call,
激憤の巫師,Ire Shaman,
水晶の番人,Keeper of the Lens,<i>「それはすべてを見通すが、限られた少数の者たちにのみ見たものを開示する。」<br/></i><br/></i>――オジュタイの達人、テイガム</i>
火をつける怒り,Kindled Fury,<i>「殺した動物の部位を余さず利用するのが、彼らに対する敬意の表し方である。我々の敵を殲滅するために利用するのであれば、なおさらである。」<br/></i><br/></i>――狩猟の統率者、スーラク</i>
コラガンの野心家,Kolaghan Aspirant,<i>彼女は戦望の呼びかけに応えた。その戦いへの欲望を満たすことができるのは流血だけである。</i>
コラガンの先陣,Kolaghan Forerunners,
コラガンの碑,Kolaghan Monument,<i>コラガンは定住する本拠地を持っていないが、その使徒らは遺物を残して彼女が征服した土地であることを記していく。</i>
コラガンの散兵,Kolaghan Skirmisher,<i>コラガンの軍勢は龍の怒りから必死に逃れようと、殺戮から殺戮へと走る。</i>
コラガンの嵐唱者,Kolaghan Stormsinger,
コラガンの命令,Kolaghan's Command,
過去に学ぶ,Learn from the Past,<i>「私はこれまでずっと、偉大なるオジュタイ様がすべての知識を持っていると聞かされてきました。しかし、我々の祖先は本当は何を知っていたのでしょうね。」<br/></i><br/></i>――ナーセット</i>
稲妻の狂戦士,Lightning Berserker,
光歩き,Lightwalker,<i>「ドロモカ様が授けてくださる最高の贈り物は、羽が無くても飛行できる能力である。」<br/></i><br/></i>――ドロモカの戦士、ウルドナン</i>
生ける伝承,Living Lore,
憤激,Lose Calm,<i>一生かかって築きあげた自制心が、一瞬の怒りのなかで失われた。</i>
隠れ潜むエイリンクス,Lurking Arynx,<i>一度獲物の匂いを嗅ぎ付けたら、それをグルマグ沼からアヤゴールまで付け狙うだろう。</i>
溶岩の地割れ,Magmatic Chasm,<i>「我々の巫師たちが大地における支配力を確保することで、下賤なる他の氏族が我が龍王に盾突こうとする行為を妨害している。」<br/></i><br/></i>――アタルカの狩人、アレク</i>
マラング川の骸骨,Marang River Skeleton,<i>マラング川の流水音が、足音と悲鳴の両方を覆い隠してくれる。</i>
湿地の大男,Marsh Hulk,<i>復讐だけが今の彼を支える唯一の目的である。</i>
精神腐敗,Mind Rot,<i>「私の一番好きな獲物はオジュタイ。失うべき知識をたくさん持っているから。」<br/></i><br/></i>――シルムガルの魔術師、アスマラ</i>
苦痛の公使,Minister of Pain,<i>龍詞は叫ぶ必要はない。囁くだけで十分なのだ。</i>
嘲る映し身,Mirror Mockery,<i>現実の自分は、なるべき自分に向かって常に走っている。</i>
霧蹄の麒麟,Misthoof Kirin,<i>それは現代のタルキールにサルカンが帰還したことを告げていた。</i>
僧院の伝承師,Monastery Loremaster,
神秘の瞑想,Mystic Meditation,<i>「精神を静め、心の臓を落ち着かせなさい。それにより初めて、多元宇宙の大いなる心理を聞くことが叶うでしょう。」<br/></i><br/></i>――ナーセット</i>
神話実現,Myth Realized,
卓絶のナーセット,Narset Transcendent,
帰化,Naturalize,<i>太古の文明の残骸が、荒廃した地に点在している。</i>
屍術使いのドラゴン,Necromaster Dragon,
否認,Negate,<i>「お前はオジュタイの僧にはなれぬ。彼らは知恵と技量を尊ぶ。お前はそれらのいずれも持ち合わせてはおらぬ。」<br/></i><br/></i>――龍口のシアラ</i>
遮る霊気,Obscuring Æther,
オジュタイの模範,Ojutai Exemplars,
オジュタイの介入者,Ojutai Interceptor,<i>「私には空へ昇ることはできても、龍ほど高い空を飛ぶことはできない。」</i>
オジュタイの碑,Ojutai Monument,<i>オジュタイはどの要塞にも滞在するが、瞑想を行う際にはコーリ要塞を特に好んでいる。</i>
オジュタイの息吹,Ojutai's Breath,
オジュタイの命令,Ojutai's Command,
オジュタイの召喚,Ojutai's Summons,
オジュタイの語り部,Orator of Ojutai,
平和な心,Pacifism,
宮殿の使い魔,Palace Familiar,
切翼の宴,Pinion Feast,
冷酷な軍族,Pitiless Horde,
押し進み,Press the Advantage,
清純な空智,Pristine Skywise,
死者を冒涜するもの,Profaner of the Dead,
深遠な旅,Profound Journey,
カル・シスマのビヒモス,Qal Sisma Behemoth,
カルシの詐欺師,Qarsi Deceiver,
カルシのサディスト,Qarsi Sadist,
光輝の粛清,Radiant Purge,
ラクシャーサの墓呼び,Rakshasa Gravecaller,
無謀なインプ,Reckless Imp,
体躯の縮小,Reduce in Stature,
引き裂く流弾,Rending Volley,
補給,Resupply,
暴露する風,Revealing Wind,
目覚めし処刑者,Risen Executioner,
焙り焼き,Roast,
無情な死牙,Ruthless Deathfang,
剣歯虎の先導隊,Sabertooth Outrider,
塩路の伏兵,Salt Road Ambushers,
塩路補給部隊,Salt Road Quartermasters,
砂造形の魔道士,Sandcrafter Mage,
砂草原のゴミあさり,Sandsteppe Scavenger,
砂嵐の突撃者,Sandstorm Charger,
揺るぎないサルカン,Sarkhan Unbroken,
サルカンの怒り,Sarkhan's Rage,
サルカンの凱旋,Sarkhan's Triumph,
凶暴な熱口,Savage Ventmaw,
鱗の祝福,Scale Blessing,
鱗衛兵の歩哨,Scaleguard Sentinels,
ウギンの末裔,Scion of Ugin,
絶叫郷の喧嘩屋,Screamreach Brawler,
荒野の確保,Secure the Wastes,
分節クロティク,Segmented Krotiq,
大地の断裂,Seismic Rupture,
自傷疵,Self-Inflicted Wound,
鱗の召使い,Servant of the Scale,
失われた業の巫師,Shaman of Forgotten Ways,
よろめくゴブリン,Shambling Goblin,
砂の造形,Shape the Sands,
遮蔽された高楼,Sheltered Aerie,
盾皮のドラゴン,Shieldhide Dragon,
岸砕きの精霊,Shorecrasher Elemental,
シブシグの氷砕き,Sibsig Icebreakers,
アンデッドの大臣、シディシ,"Sidisi, Undead Vizier",
シディシの信者,Sidisi's Faithful,
千里眼,Sight Beyond Sight,
鱗王の監視,Sight of the Scalelords,
絹包み,Silkwrap,
シルムガルの暗殺者,Silumgar Assassin,
シルムガルの解体者,Silumgar Butcher,
シルムガルの碑,Silumgar Monument,
シルムガルの魔術師,Silumgar Sorcerer,
シルムガルの呪文喰い,Silumgar Spell-Eater,
シルムガルの命令,Silumgar's Command,
シルムガルの嘲笑,Silumgar's Scorn,
空智の教え,Skywise Teachings,
蜘蛛糸の網,Spidersilk Net,
疾走する戦暴者,Sprinting Warbrute,
突進する大鹿の群れ,Stampeding Elk Herd,
嵐の岩山の精霊,Stormcrag Elemental,
嵐乗りの装具,Stormrider Rig,
嵐翼ドラゴン,Stormwing Dragon,
層雲の踊り手,Stratus Dancer,
豪腕の修道士,Strongarm Monk,
オジュタイの学徒,Student of Ojutai,
山頂をうろつくもの,Summit Prowler,
太陽運びの接触,Sunbringer's Touch,
陽焼の執政,Sunscorch Regent,
正義のうねり,Surge of Righteousness,
狩猟の統率者、スーラク,"Surrak, the Hunt Caller",
快速ウォーカイト,Swift Warkite,
テイガムの一撃,Taigam's Strike,
尾の切りつけ,Tail Slash,
星霜のつづれ織り,Tapestry of the Ages,
領空のロック,Territorial Roc,
雷破の執政,Thunderbreak Regent,
苦しめる声,Tormenting Voice,
踏み付け,Tread Upon,
双雷弾,Twin Bolt,
ウクドのコブラ,Ukud Cobra,
究極の価格,Ultimate Price,
上昇気流の精霊,Updraft Elemental,
破壊行為,Vandalize,
龍火の薬瓶,Vial of Dragonfire,
悪性の疫病,Virulent Plague,
虚空のスコール,Void Squall,
火山の猛進,Volcanic Rush,
火山の幻視,Volcanic Vision,
禿鷹エイヴン,Vulturous Aven,
放浪する墓甲羅,Wandering Tombshell,
戦いをもたらすもの,Warbringer,
若年の識者,Youthful Scholar,
微風の写字官,Zephyr Scribe,
鐘突きのズルゴ,Zurgo Bellstriker,
